ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,RaidOffset,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,Field_1_15_4_56400_021,Flags_0,Flags_1,Flags_2
545,CoilfangPumping,盘牙湖泊：蒸汽地窟,,,,,2,1,1,3715,207,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
546,CoilfangMarsh,盘牙湖泊：幽暗沼泽,,,,,2,1,1,3716,207,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
547,CoilfangDraenei,盘牙湖泊：奴隶围栏,,,,,2,1,1,3717,207,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
548,CoilfangRaid,盘牙湖泊：毒蛇神殿,,,,,2,2,1,3607,207,-1,-1,-1,0,1,0,530,25,0,0,0,16778753,134217728,130
550,TempestKeepRaid,风暴要塞,,,,,2,2,1,3845,206,-1,-1,-1,0,1,0,-1,25,0,0,0,16778753,134217728,130
552,TempestKeepArcane,风暴要塞：禁魔监狱,,,,,2,1,1,3848,206,-1,-1,-1,0,1,0,-1,5,0,0,0,1537,134217728,130
553,TempestKeepAtrium,风暴要塞：生态船,,,,,2,1,1,3847,206,-1,-1,-1,0,1,0,-1,5,0,0,0,1537,134217728,130
554,TempestKeepFactory,风暴要塞：能源舰,,,,,2,1,1,3849,206,-1,-1,-1,0,1,0,-1,5,0,0,0,1537,134217728,130
555,AuchindounShadow,奥金顿：暗影迷宫,,,,,2,1,1,3789,201,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
556,AuchindounDemon,奥金顿：塞泰克大厅,,,,,2,1,1,3791,201,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
557,AuchindounEthereal,奥金顿：法力墓穴,,,,,2,1,1,3792,201,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
558,AuchindounDraenei,奥金顿：奥金尼地穴,,,,,2,1,1,3790,201,-1,-1,-1,0,1,0,530,5,0,0,0,1537,134217728,130
559,PVPZone05,纳格兰竞技场,,,,,1,4,0,0,219,-1,-1,-1,0,1,0,-1,0,0,0,0,15889,134479872,130
560,HillsbradPast,逃离敦霍尔德,,,,,1,1,1,267,212,-1,-1,-1,0,1,0,1,5,0,0,0,15889,134479872,130
562,bladesedgearena,刀锋山竞技场,,,,,1,4,0,3702,218,-1,-1,-1,0,1,0,-1,0,0,0,0,15889,134479880,130
564,BlackTemple,黑暗神殿,,,,,1,2,1,0,215,-1,-1,-1,0,1,0,530,25,0,0,0,16793105,134479872,130
565,GruulsLair,格鲁尔的巢穴,,,,,2,2,1,3923,213,-1,-1,-1,0,1,0,530,25,0,0,0,16778753,134217728,130
712,Transport197349,"Transport: The Skybreaker (IC Dungeon)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
566,NetherstormBG,风暴之眼,"这座被称作“风暴之眼”的小岛悬浮在破碎的虚空风暴地区上。

血精灵垂涎着岛上的丰富能源。

德莱尼也因为它和风暴要塞的密切关系而对它非常重视。","这座被称作“风暴之眼”的小岛悬浮在破碎的虚空风暴地区上。

血精灵垂涎着岛上的丰富能源。

德莱尼也因为它和风暴要塞的密切关系而对它非常重视。",占领目标,"- 占领并守卫目标
- 占领中央旗帜
- 获得1500份资源",1,3,1,0,210,-1,-1,-1,0,1,0,-1,0,0,0,0,15889,134479872,130
568,ZulAman,祖阿曼,,,,,1,2,1,0,214,-1,-1,-1,0,1,0,530,10,0,0,0,16793105,134479872,130
571,Northrend,诺森德,,,,,1,0,0,0,216,-1,-1,-1,0,1,0,-1,0,0,804939,0,16793117,135528448,128
572,PVPLordaeron,洛丹伦废墟,,,,,1,4,0,0,217,-1,-1,-1,0,1,0,-1,0,0,0,0,15889,134479872,130
574,Valgarde70,乌特加德城堡,,,,,1,1,2,0,220,-1,-1,-1,0,1,0,571,5,0,0,0,15901,134479872,128
575,UtgardePinnacle,乌特加德之巅,,,,,1,1,2,0,221,-1,-1,-1,0,1,0,571,5,0,0,0,73245,134479872,128
576,Nexus70,魔枢,,,,,2,1,2,4265,226,-1,-1,-1,0,1,0,571,5,0,0,0,1537,134217728,128
578,Nexus80,魔环,,,,,1,1,2,0,227,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
580,SunwellPlateau,太阳之井,,,,,1,2,1,0,225,-1,-1,-1,0,1,0,530,25,0,0,0,16793105,134479872,130
582,Transport176244,"运输 - 鲁瑟兰到奥伯丁",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
584,Transport176231,"运输 - 米奈希尔到塞拉摩",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
585,Sunwell5ManFix,魔导师平台,,,,,1,1,1,0,224,-1,-1,-1,0,1,0,530,5,0,0,0,7701,134479872,130
586,Transport181645,"运输 - 埃索达到奥伯丁",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
587,Transport177233,"运输 - 羽月渡口",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
588,Transport176310,"运输 - 米奈希尔到奥伯丁",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
589,Transport175080,"运输 - 奥格瑞玛到格罗姆高",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
590,Transport176495,"运输 - 格罗姆高到幽暗城",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
591,Transport164871,"运输 - 幽暗城到奥格瑞玛",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
592,Transport186238,"Transport: Borean Tundra Test",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
593,Transport20808,"运输 - 藏宝海湾到棘齿城",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134217728,130
594,Transport187038,"Transport: Howling Fjord Sister Mercy (Quest)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
595,StratholmeCOT,净化斯坦索姆,,,,,1,1,2,0,222,-1,-1,-1,0,1,0,1,5,0,0,0,7697,134479872,128
596,Transport187263,"Transport: Naglfar",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
598,Sunwell5Man,"Sunwell Fix (Unused)",,,,,2,1,1,0,4,-1,-1,-1,0,1,0,-1,5,0,0,0,1537,134217728,130
599,Ulduar70,岩石大厅,,,,,1,1,2,0,230,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
600,DrakTheronKeep,达克萨隆要塞,,,,,1,1,2,0,228,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
601,Azjol_Uppercity,艾卓-尼鲁布,,,,,1,1,2,0,229,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
602,Ulduar80,闪电大厅,,,,,1,1,2,0,231,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
603,UlduarRaid,奥杜尔,,,,,1,2,2,0,244,0,-1,-1,0,1,0,571,5,0,0,0,16784925,134479872,262272
604,GunDrak,古达克,,,,,1,1,2,0,237,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
605,development_nonweighted,"Development Land (non-weighted textures)",,,,,1,0,0,0,21,-1,-1,-1,0,1,0,-1,0,0,0,0,17,134217728,128
713,Transport197350,"Transport: Orgrim's Hammer (IC Dungeon)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
718,Transport201834,"Trasnport: The Mighty Wind (Icecrown Citadel Raid)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1537,134479880,128
607,NorthrendBG,远古海滩,"在龙骨荒野的南面有一处保存着古代泰坦神器的圣殿，联盟和部落都想要夺取这件神器，以获得有关泰坦的重要情报。

做好战斗的准备吧，在这片远古海滩的战斗中，命运并非决定性的因素。","在龙骨荒野的南面有一处保存着古代泰坦神器的圣殿，联盟和部落都想要夺取这件神器，以获得有关泰坦的重要情报。

做好战斗的准备吧，在这片远古海滩的战斗中，命运并非决定性的因素。",,,1,3,2,0,238,-1,-1,-1,0,1,0,-1,0,0,0,0,7709,134479872,128
608,DalaranPrison,紫罗兰监狱,,,,,1,1,2,0,235,-1,-1,-1,0,1,0,571,5,0,0,0,7709,134479872,128
609,DeathKnightStart,黑锋要塞,,,,,1,0,2,0,233,-1,-1,-1,0,1,0,-1,0,0,0,0,17055261,135528448,128
610,"Transport_Tirisfal _Vengeance_Landing","Transport: Tirisfal to Vengeance Landing",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
612,Transport_Menethil_Valgarde,"Transport: Menethil to Valgarde",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
613,Transport_Orgrimmar_Warsong_Hold,"Transport: Orgrimmar to Warsong Hold",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
614,Transport_Stormwind_Valiance_Keep,"Transport: Stormwind to Valiance Keep",,,,,3,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
615,ChamberOfAspectsBlack,黑曜石圣殿,,,,,1,2,2,0,239,-1,-1,-1,0,1,0,571,0,0,0,0,16784925,134479872,262272
616,NexusRaid,永恒之眼,,,,,1,2,2,0,236,-1,-1,-1,0,1,0,571,5,0,0,0,16784925,134479872,262272
617,DalaranArena,达拉然下水道,,,,,1,4,0,0,242,0,-1,-1,0,1,0,-1,0,0,0,0,7709,134479880,128
618,OrgrimmarArena,勇气竞技场,,,,,1,4,0,0,240,720,-1,-1,0,1,0,-1,0,0,0,0,4202013,134479880,128
619,Azjol_LowerCity,安卡赫特：古代王国,,,,,1,1,2,0,234,-1,-1,-1,0,1,0,571,0,0,0,0,7709,134479872,128
620,Transport_Moa'ki_Unu'pe,"Transport: Moa'ki to Unu'pe",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
621,Transport_Moa'ki_Kamagua,"Transport: Moa'ki to Kamagua",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
622,Transport192241,"Transport: Orgrim's Hammer",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
623,Transport192242,"Transport: The Skybreaker",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
624,WintergraspRaid,阿尔卡冯的宝库,,,,,1,2,2,0,243,-1,-1,-1,0,1,0,571,0,0,0,0,16784957,134479872,262272
628,IsleofConquest,征服之岛,"征服之岛是联盟与部落在诺森德的必争之地。

这块小岛是在冰冠冰川进行战略部署的理想区域，所以部落和联盟都要巩固己方在这里的控制权。

第七军团与库卡隆守卫在这里的死斗陷入了胶结，双方都已发出了战争的召唤，希望借此扩充兵力并消灭对方。","征服之岛是联盟与部落在诺森德的必争之地。

这块小岛是在冰冠冰川进行战略部署的理想区域，所以部落和联盟都要巩固己方在这里的控制权。

第七军团与库卡隆守卫在这里的死斗陷入了胶结，双方都已发出了战争的召唤，希望借此扩充兵力并消灭对方。",,,1,3,2,0,245,-1,-1,-1,0,1,0,-1,0,0,0,0,7709,134479872,128
631,IcecrownCitadel,冰冠堡垒,,,,,1,2,2,0,250,-1,-1,-1,0,1,0,571,0,0,0,0,16785181,134479872,262272
632,IcecrownCitadel5Man,灵魂洪炉,,,,,1,1,2,0,249,-1,-1,-1,0,1,0,571,0,0,0,0,7709,134479872,128
641,Transport_AllianceAirshipBG,"Transport: Alliance Airship BG",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
642,Transport_HordeAirshipBG,"Transport: HordeAirshipBG",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
647,Transport_Orgrimmar_to_Thunderbluff,"运输 - 奥格瑞玛到雷霆崖",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
649,ArgentTournamentRaid,十字军的试炼,,,,,1,2,2,0,246,-1,-1,-1,0,1,0,571,0,0,0,0,16785181,134479872,262272
650,ArgentTournamentDungeon,冠军的试炼,,,,,1,1,2,0,247,-1,-1,-1,0,1,0,571,0,0,0,0,7709,134479880,128
658,QuarryofTears,萨隆深渊,,,,,1,1,2,0,252,-1,-1,-1,0,1,0,571,0,0,0,0,7709,134479872,128
668,HallsOfReflection,映像大厅,,,,,1,1,2,0,253,-1,-1,-1,0,1,0,571,0,0,0,0,7709,134479872,128
672,Transport197347,"Transport: The Skybreaker (Icecrown Citadel Raid)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
673,Transport197348,"Transport: Orgrim's Hammer (Icecrown Citadel Raid)",,,,,3,0,2,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,1,134217728,128
723,Stormwind,暴风城,,,,,1,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,7709,134479872,128
724,ChamberofAspectsRed,红玉圣殿,,,,,1,2,2,0,254,-1,-1,-1,0,1,0,0,0,0,0,0,16785181,134479872,262272
2118,WintergraspEpic,冬拥湖,"这是一座古老的泰坦要塞，修建的目的是为了保护阿尔卡冯的宝库。部落和联盟军队在此激战不休，想要争夺对此地的控制权，从而夺取宝库中珍藏的神器和圣物以便对抗巫妖王。

","这是一座古老的泰坦要塞，修建的目的是为了保护阿尔卡冯的宝库。部落和联盟军队在此激战不休，想要争夺对此地的控制权，从而夺取宝库中珍藏的神器和圣物以便对抗巫妖王。

",防守或突袭冬拥湖,"- 防守方需要守住冬拥堡垒
- 进攻方需要摧毁冬拥堡垒最后的一面墙",1,3,2,0,216,-1,-1,-1,0,1,0,-1,0,0,0,0,8396317,262144,128
2565,2565,"Northrend (3.0 phase)",,,,,1,0,0,0,216,-1,571,571,0,1,0,-1,0,0,804939,0,15901,1310720,128
2567,2567,"Northrend (3.1 phase)",,,,,1,0,0,0,216,-1,571,571,0,1,0,-1,0,0,804939,0,15901,1310720,128
