ID,ChrSpecID,SpellID,TraitSubTreeID,Threshold,ItemSetID
2379,0,41689,0,2,537
2380,0,22738,0,4,537
2381,0,41688,0,6,537
2382,0,41713,0,2,538
2383,0,22804,0,4,538
2384,0,41712,0,6,538
2385,0,41691,0,6,541
2386,0,41654,0,2,541
2387,0,23047,0,4,541
2407,0,26123,0,3,502
2408,0,26173,0,3,509
2409,0,26174,0,5,509
2412,0,41674,0,5,123
2413,0,41673,0,4,123
2414,0,41672,0,3,123
2415,0,41671,0,2,123
2416,0,29096,0,2,184
2417,0,27787,0,6,184
2418,0,41836,0,8,184
2419,0,41835,0,4,184
2420,0,29097,0,2,185
2421,0,27781,0,6,185
2422,0,41893,0,8,185
2423,0,41892,0,4,185
2424,0,41891,0,4,185
2448,0,29092,0,2,189
2449,0,27419,0,6,189
2450,0,18679,0,8,189
2451,0,30770,0,4,189
2452,0,41657,0,3,201
2453,0,23545,0,8,201
2454,0,41656,0,5,201
2459,0,23555,0,8,212
2460,0,21922,0,5,212
2461,0,32449,0,3,212
2462,0,29095,0,2,187
2463,0,27774,0,6,187
2464,0,41857,0,8,187
2465,0,41856,0,4,187
2466,0,29093,0,2,188
2467,0,27498,0,6,188
2468,0,41819,0,8,188
2469,0,41818,0,4,188
2470,0,26131,0,3,504
2471,0,26130,0,3,505
2472,0,41648,0,5,505
2620,0,41707,0,2,539
2621,0,23218,0,4,539
2622,0,41706,0,6,539
2623,0,23044,0,3,390
2624,0,41900,0,6,390
2625,0,41899,0,2,390
2748,0,41867,0,2,471
2749,0,39433,0,3,471
2779,0,23560,0,3,206
2780,0,23566,0,8,206
2781,0,21926,0,5,206
2782,0,41729,0,6,518
2783,0,41728,0,2,518
2784,0,27780,0,4,518
2785,0,41727,0,8,518
2833,0,41752,0,6,513
2834,0,41646,0,6,513
2835,0,41751,0,2,513
2836,0,27781,0,4,513
2837,0,41750,0,8,513
2840,0,26112,0,3,497
2841,0,26113,0,5,497
2842,0,41717,0,2,347
2843,0,41716,0,6,347
2844,0,23048,0,4,347
2847,0,29068,0,3,533
2869,0,23564,0,3,208
2871,0,21747,0,8,208
2896,0,24746,0,3,492
2899,0,21894,0,3,214
2900,0,21872,0,5,214
2901,0,21871,0,8,214
3476,0,41781,0,8,520
4206,0,41784,0,5,208
4259,0,41463,0,2,715
4260,0,44299,0,4,715
4261,0,44293,0,4,716
4262,0,41462,0,2,716
4263,0,41895,0,6,717
4264,0,41896,0,2,717
4265,0,22804,0,3,717
4266,0,41713,0,2,718
4267,0,41712,0,6,718
4268,0,22804,0,4,718
4269,0,41989,0,2,719
4270,0,43478,0,2,720
4271,0,23218,0,4,720
4272,0,43479,0,2,721
4273,0,23218,0,4,721
4274,0,43480,0,2,722
4275,0,44293,0,4,722
4276,0,43479,0,2,723
4277,0,44292,0,4,723
4278,0,43480,0,2,724
4279,0,44302,0,4,724
4280,0,43478,0,2,725
4281,0,23302,0,4,725
4282,0,43479,0,2,726
4283,0,61776,0,4,726
4284,0,43480,0,2,727
4285,0,61776,0,4,727
4286,0,43478,0,2,728
4287,0,33333,0,4,728
4288,0,43480,0,2,729
4289,0,33333,0,4,729
4290,0,43479,0,2,730
4291,0,21975,0,4,730
4292,0,43478,0,2,731
4293,0,44299,0,4,731
4294,0,43479,0,2,732
4295,0,33018,0,4,732
4296,0,43480,0,2,733
4297,0,44299,0,4,733
4298,0,43481,0,2,734
4299,0,23047,0,4,734
4300,0,43480,0,2,735
4301,0,23047,0,4,735
4302,0,43479,0,2,736
4303,0,22738,0,4,736
4304,0,9336,0,2,737
4305,0,23047,0,4,738
4306,0,46412,0,2,738
4307,0,33333,0,4,739
4308,0,46413,0,2,739
4309,0,33333,0,4,740
4310,0,46414,0,2,740
4311,0,46415,0,2,741
4312,0,23025,0,4,741
4313,0,23218,0,4,742
4314,0,46435,0,2,742
4315,0,46832,0,4,743
4316,0,46436,0,2,743
4317,0,46834,0,4,744
4318,0,46437,0,2,744
4319,0,23048,0,4,745
4320,0,46438,0,2,745
4321,0,22804,0,4,746
4322,0,46454,0,2,746
4323,0,48109,0,4,747
4324,0,46455,0,2,747
4325,0,33018,0,4,748
4326,0,46456,0,2,748
4327,0,46456,0,2,749
4328,0,23158,0,4,749
4329,0,22738,0,4,750
4330,0,46528,0,2,750
4331,0,46530,0,2,751
4332,0,23302,0,4,751
4333,0,23302,0,4,752
4334,0,46534,0,2,752
4335,0,37194,0,4,629
4336,0,37195,0,2,629
4337,0,37207,0,2,630
4338,0,37209,0,4,630
4345,0,37225,0,2,634
4346,0,37227,0,4,634
4347,0,37228,0,4,635
4348,0,37237,0,2,635
4349,0,37239,0,2,636
4350,0,37241,0,4,636
4351,0,37286,0,2,637
4352,0,37287,0,4,637
4358,0,37311,0,4,640
4361,0,37315,0,2,641
4362,0,37333,0,4,641
4363,0,37313,0,2,642
4364,0,37314,0,4,642
4365,0,37324,0,2,643
4366,0,37327,0,4,643
4367,0,37376,0,4,644
4368,0,37375,0,2,644
4369,0,37377,0,4,645
4371,0,39437,0,4,645
4373,0,61992,0,4,646
4374,0,37423,0,2,647
4375,0,37424,0,4,647
4378,0,37443,0,4,649
4379,0,37441,0,2,649
4380,0,37483,0,4,650
4381,0,37481,0,2,650
4384,0,37381,0,2,652
4385,0,37505,0,4,652
4386,0,37513,0,4,653
4387,0,37512,0,2,653
4389,0,37516,0,2,654
4390,0,37518,0,2,655
4392,0,37522,0,2,656
4393,0,37525,0,4,656
4394,0,37528,0,4,657
4395,0,37535,0,2,657
4396,0,37607,0,2,658
4397,0,37619,0,4,658
4398,0,37618,0,4,659
4399,0,37608,0,2,659
4400,0,37617,0,4,660
4401,0,37609,0,2,660
4402,0,37611,0,4,661
4403,0,37610,0,2,661
4404,0,37556,0,2,662
4405,0,37558,0,4,662
4406,0,37564,0,2,663
4408,0,37570,0,2,664
4409,0,37571,0,4,664
4410,0,26171,0,4,665
4411,0,37594,0,2,665
4412,0,37600,0,2,666
4413,0,37603,0,4,666
4414,0,41875,0,2,667
4415,0,38389,0,4,668
4416,0,38388,0,2,668
4417,0,38390,0,2,669
4418,0,38392,0,4,669
4419,0,38394,0,2,670
4420,0,38393,0,4,670
4421,0,38396,0,2,671
4422,0,38397,0,4,671
4423,0,38398,0,2,672
4424,0,38399,0,4,672
4425,0,38407,0,4,673
4426,0,38408,0,2,673
4427,0,38413,0,2,674
4428,0,38412,0,4,674
4429,0,38411,0,4,675
4430,0,38410,0,2,675
4431,0,38416,0,4,676
4432,0,38447,0,2,676
4433,0,38414,0,2,677
4434,0,38415,0,4,677
4435,0,38417,0,2,678
4436,0,38420,0,4,678
4437,0,38421,0,2,679
4438,0,38422,0,4,679
4439,0,38427,0,2,680
4440,0,38424,0,4,680
4441,0,38426,0,4,681
4442,0,38425,0,2,681
4443,0,38429,0,2,682
4444,0,38432,0,4,682
4445,0,38434,0,2,683
4446,0,38435,0,4,683
4447,0,38443,0,2,684
4448,0,38436,0,4,684
4449,0,40043,0,2,685
4450,0,46834,0,4,685
4451,0,44299,0,4,686
4452,0,40043,0,2,686
4453,0,33333,0,4,687
4454,0,40043,0,2,687
4455,0,40045,0,2,688
4456,0,46834,0,4,688
4457,0,46834,0,4,689
4458,0,40049,0,2,689
4459,0,40043,0,2,690
4460,0,46851,0,4,690
4461,0,33333,0,4,691
4462,0,40045,0,2,691
4463,0,33333,0,4,692
4464,0,40049,0,2,692
4465,0,40045,0,2,693
4466,0,46851,0,4,693
4467,0,46851,0,4,694
4468,0,40049,0,2,694
4469,0,40045,0,2,695
4470,0,38499,0,4,695
4471,0,38499,0,4,696
4472,0,40049,0,2,696
4473,0,41705,0,2,697
4474,0,23302,0,3,697
4475,0,41704,0,6,697
4476,0,41886,0,2,698
4477,0,23302,0,3,698
4478,0,30778,0,6,698
4479,0,41434,0,2,699
4480,0,41433,0,2,699
4481,0,41462,0,2,700
4482,0,61776,0,4,700
4483,0,41464,0,2,701
4484,0,22738,0,4,701
4485,0,41474,0,2,702
4486,0,23047,0,4,702
4487,0,41464,0,2,703
4488,0,33018,0,4,703
4489,0,41462,0,2,704
4490,0,23047,0,4,704
4491,0,41463,0,2,705
4492,0,33333,0,4,705
4493,0,44292,0,4,706
4494,0,41464,0,2,706
4495,0,41462,0,2,707
4496,0,33333,0,4,707
4497,0,46851,0,4,708
4498,0,41463,0,2,708
4499,0,41463,0,2,709
4500,0,23218,0,4,709
4501,0,44302,0,4,710
4502,0,41462,0,2,710
4503,0,41464,0,2,711
4504,0,23218,0,4,711
4505,0,44299,0,4,712
4506,0,41462,0,2,712
4507,0,41464,0,2,713
4508,0,21975,0,4,713
4509,0,61776,0,4,714
4510,0,41464,0,2,714
4511,0,41749,0,3,575
4512,0,41771,0,3,576
4513,0,32145,0,2,577
4514,0,21975,0,4,577
4515,0,33018,0,4,578
4516,0,32145,0,2,578
4517,0,40042,0,2,579
4518,0,44302,0,4,579
4519,0,40042,0,2,580
4520,0,44299,0,4,580
4521,0,40042,0,2,581
4522,0,33333,0,4,581
4523,0,61776,0,4,582
4524,0,40044,0,2,582
4525,0,32145,0,2,583
4526,0,61776,0,4,583
4527,0,32145,0,2,584
4528,0,23218,0,4,584
4529,0,40042,0,2,585
4530,0,46832,0,4,585
4531,0,32145,0,2,586
4532,0,44292,0,4,586
4533,0,40052,0,2,587
4534,0,23302,0,4,587
4535,0,40050,0,2,588
4536,0,22738,0,4,588
4537,0,40048,0,2,589
4538,0,23302,0,4,589
4539,0,40046,0,2,590
4540,0,22738,0,4,590
4541,0,40047,0,2,591
4542,0,23047,0,4,591
4543,0,40051,0,2,592
4544,0,23047,0,4,592
4545,0,40046,0,2,593
4546,0,33018,0,4,593
4547,0,40050,0,2,594
4548,0,33018,0,4,594
4549,0,40046,0,2,595
4550,0,23158,0,4,595
4551,0,40050,0,2,596
4552,0,23158,0,4,596
4553,0,40047,0,2,597
4554,0,33333,0,4,597
4555,0,40051,0,2,598
4556,0,33333,0,4,598
4557,0,40047,0,2,599
4558,0,23025,0,4,599
4559,0,40051,0,2,600
4560,0,23025,0,4,600
4561,0,40046,0,2,601
4562,0,23218,0,4,601
4563,0,40050,0,2,602
4564,0,23218,0,4,602
4565,0,40047,0,2,603
4566,0,22804,0,4,603
4567,0,40051,0,2,604
4568,0,22804,0,4,604
4569,0,40046,0,2,605
4570,0,23048,0,4,605
4571,0,40050,0,2,606
4572,0,23048,0,4,606
4573,0,40046,0,2,607
4574,0,23302,0,4,607
4575,0,41591,0,3,618
4576,0,41832,0,3,619
4577,0,37165,0,2,620
4578,0,37166,0,4,620
4581,0,37169,0,2,622
4582,0,37170,0,4,622
4583,0,37180,0,2,623
4584,0,37181,0,4,623
4591,0,37188,0,2,627
4592,0,37189,0,4,627
4593,0,37190,0,2,628
4594,0,37191,0,4,628
4595,0,40050,0,2,608
4596,0,23302,0,4,608
4597,0,40047,0,2,609
4598,0,33877,0,4,609
4599,0,40051,0,2,610
4600,0,33877,0,4,610
4601,0,41748,0,2,611
4602,0,41747,0,4,611
4603,0,41834,0,4,612
4604,0,41833,0,2,612
4605,0,41878,0,2,613
4606,0,41877,0,4,613
4607,0,41890,0,2,614
4608,0,41889,0,4,614
4609,0,40053,0,2,615
4610,0,23047,0,4,615
4611,0,39982,0,3,616
4612,0,41828,0,3,617
4613,0,32196,0,3,552
4614,0,39372,0,3,553
4615,0,32102,0,3,554
4616,0,39543,0,2,555
4617,0,41829,0,4,555
4618,0,39881,0,3,556
4619,0,41841,0,2,557
4620,0,41658,0,3,558
4621,0,32106,0,2,559
4622,0,42155,0,2,560
4623,0,41744,0,4,560
4624,0,41562,0,4,561
4625,0,41561,0,2,561
4626,0,41655,0,3,562
4627,0,41742,0,3,563
4628,0,41769,0,3,564
4629,0,41783,0,3,565
4630,0,41678,0,2,566
4631,0,22738,0,4,567
4632,0,32145,0,2,567
4633,0,40042,0,2,568
4634,0,23047,0,4,568
4635,0,41743,0,3,569
4636,0,41876,0,2,570
4637,0,32200,0,2,571
4638,0,41660,0,2,572
4639,0,41746,0,3,573
4640,0,41846,0,3,574
5324,0,60141,0,2,798
5325,0,60142,0,4,798
5326,0,60135,0,2,799
5327,0,60137,0,4,799
5328,0,60138,0,2,800
5329,0,60139,0,4,800
5330,0,60162,0,2,801
5331,0,60163,0,4,801
5332,0,60170,0,2,802
5333,0,60172,0,4,802
5334,0,61062,0,2,803
5335,0,60146,0,4,803
5336,0,60154,0,2,804
5337,0,60155,0,4,804
5338,0,60156,0,2,805
5339,0,60157,0,4,805
5340,0,62181,0,2,812
5341,0,63972,0,6,813
5342,0,63973,0,4,813
5343,0,63973,0,4,814
5344,0,63972,0,6,814
5345,0,63972,0,6,815
5346,0,63973,0,4,815
5347,0,63973,0,4,816
5348,0,63972,0,6,816
5349,0,63972,0,6,817
5350,0,63973,0,4,817
5351,0,63973,0,4,818
5352,0,63972,0,6,818
5353,0,63972,0,6,819
5354,0,63973,0,4,819
5355,0,64878,0,2,820
5356,0,64879,0,4,820
5357,0,64881,0,2,821
5358,0,64882,0,4,821
5359,0,64890,0,2,822
5360,0,64895,0,4,822
5361,0,64916,0,2,823
5362,0,64917,0,4,823
5363,0,64921,0,2,825
5364,0,64922,0,4,825
5365,0,64914,0,2,826
5366,0,64915,0,4,826
5367,0,64752,0,2,827
5368,0,64754,0,4,827
5369,0,64818,0,2,828
5370,0,64824,0,4,828
5371,0,64756,0,2,829
5372,0,64760,0,4,829
5373,0,64938,0,2,830
5374,0,64939,0,4,830
5375,0,64933,0,2,831
5376,0,64936,0,4,831
5377,0,64906,0,2,832
5378,0,64908,0,4,832
5379,0,64910,0,2,833
5380,0,64912,0,4,833
5381,0,64735,0,2,834
5382,0,64736,0,4,834
5383,0,64744,0,2,835
5384,0,64745,0,4,835
5385,0,64867,0,2,836
5386,0,64869,0,4,836
5387,0,64854,0,2,838
5388,0,64860,0,4,838
5389,0,67164,0,2,843
5390,0,67185,0,4,843
5391,0,70803,0,4,890
5392,0,70805,0,2,890
5393,0,70727,0,2,891
5394,0,70730,0,4,891
5395,0,70808,0,4,892
5396,0,70807,0,2,892
5397,0,70832,0,4,894
5398,0,70830,0,2,894
5399,0,70847,0,4,895
5400,0,70854,0,2,895
5401,0,70844,0,4,896
5402,0,70843,0,2,896
5403,0,70655,0,2,897
5404,0,70656,0,4,897
5405,0,70652,0,4,898
5406,0,70650,0,2,898
5407,0,70756,0,4,899
5408,0,70755,0,2,899
5409,0,70762,0,4,900
5410,0,70765,0,2,900
5411,0,70761,0,4,901
5412,0,70758,0,2,901
5413,0,64928,0,4,824
5414,0,64925,0,2,824
5415,0,70723,0,4,888
5416,0,70718,0,2,888
5417,0,70817,0,4,893
5418,0,70811,0,2,893
5419,0,56449,0,2,768
5420,0,61257,0,4,768
5421,0,71850,0,2,768
5422,0,71858,0,4,768
5423,0,67211,0,4,858
5424,0,67209,0,2,858
5425,0,57943,0,2,781
5426,0,29068,0,3,781
5427,0,57944,0,4,781
5428,0,67201,0,2,847
5429,0,67202,0,4,847
5430,0,64931,0,2,837
5431,0,64932,0,4,837
5432,0,67164,0,2,844
5433,0,67185,0,4,844
5434,0,67230,0,2,845
5435,0,67231,0,4,845
5436,0,67230,0,2,846
5437,0,67231,0,4,846
5438,0,67201,0,2,848
5439,0,67202,0,4,848
5440,0,67193,0,2,849
5441,0,67198,0,4,849
5442,0,67193,0,2,850
5443,0,67198,0,4,850
5444,0,67127,0,2,851
5446,0,67127,0,2,852
5448,0,67125,0,2,853
5449,0,67126,0,4,853
5450,0,67125,0,2,854
5451,0,67126,0,4,854
5452,0,67121,0,2,855
5453,0,67123,0,4,855
5454,0,67121,0,2,856
5455,0,67123,0,4,856
5456,0,67209,0,2,857
5457,0,67211,0,4,857
5458,0,67150,0,2,859
5459,0,67151,0,4,859
5460,0,67151,0,4,860
5461,0,67150,0,2,860
5462,0,67225,0,2,861
5463,0,67226,0,4,861
5464,0,67225,0,2,862
5465,0,67226,0,4,862
5466,0,67227,0,2,863
5467,0,67228,0,4,863
5468,0,67228,0,4,864
5469,0,67227,0,2,864
5470,0,67220,0,2,865
5471,0,67221,0,4,865
5472,0,67220,0,2,866
5473,0,67221,0,4,866
5474,0,67234,0,2,867
5475,0,67268,0,4,867
5476,0,67234,0,2,868
5477,0,67268,0,4,868
5478,0,67269,0,2,870
5479,0,67273,0,4,870
5480,0,67118,0,4,871
5481,0,67115,0,2,871
5482,0,67115,0,2,872
5483,0,67118,0,4,872
5484,0,67120,0,4,873
5485,0,67119,0,2,873
5486,0,67119,0,2,874
5487,0,67120,0,4,874
5488,0,67190,0,2,875
5489,0,67191,0,4,875
5490,0,67190,0,2,876
5491,0,67191,0,4,876
5492,0,67188,0,2,877
5493,0,67189,0,4,877
5494,0,67189,0,4,878
5495,0,67188,0,2,878
5496,0,67186,0,2,879
5497,0,67187,0,4,879
5498,0,67187,0,4,880
5499,0,67186,0,2,880
5500,0,69599,0,2,881
5501,0,69755,0,2,881
5502,0,69709,0,2,882
5503,0,69739,0,2,882
5504,0,70748,0,4,883
5505,0,70752,0,2,883
5506,0,70841,0,4,884
5507,0,70839,0,2,884
5508,0,70798,0,4,885
5509,0,70770,0,2,885
5510,0,70801,0,4,886
5511,0,70800,0,2,886
5512,0,70664,0,4,887
5513,0,70658,0,2,887
5514,0,70726,0,4,889
