FileDataID,Icon
133136,inv_helmet_34
133143,inv_helmet_41
133155,inv_helmet_53
133276,inv_jewelry_amulet_01
133277,inv_jewelry_amulet_02
133278,inv_jewelry_amulet_03
133279,inv_jewelry_amulet_04
133280,inv_jewelry_amulet_05
133289,inv_jewelry_necklace_02
133297,inv_jewelry_necklace_10
133310,inv_jewelry_necklace_23
133314,inv_jewelry_necklace_27
133320,inv_jewelry_necklace_30
133336,inv_jewelry_necklace_45
133346,inv_jewelry_ring_04
133349,inv_jewelry_ring_07
133350,inv_jewelry_ring_08
133351,inv_jewelry_ring_09
133352,inv_jewelry_ring_10
133356,inv_jewelry_ring_14
133357,inv_jewelry_ring_15
133363,inv_jewelry_ring_21
133369,inv_jewelry_ring_27
133370,inv_jewelry_ring_28
133371,inv_jewelry_ring_29
133377,inv_jewelry_ring_35
133378,inv_jewelry_ring_36
133380,inv_jewelry_ring_38
133381,inv_jewelry_ring_39
133396,inv_jewelry_ring_54
133397,inv_jewelry_ring_55
133399,inv_jewelry_ring_57
133407,inv_jewelry_ring_65
133411,inv_jewelry_ring_69
133418,inv_jewelry_ring_76
133422,inv_jewelry_ring_80
133441,inv_jewelry_talisman_08
133452,inv_jewelry_trinketpvp_01
133453,inv_jewelry_trinketpvp_02
133542,inv_mace_62
133550,inv_mace_70
133600,inv_misc_armorkit_05
133647,inv_misc_bag_14
133648,inv_misc_bag_15
133650,inv_misc_bag_17
133651,inv_misc_bag_18
133661,inv_misc_bag_28_halloween
133668,inv_misc_bag_herbpouch
133674,inv_misc_bandage_04
133712,inv_misc_bomb_04
133725,inv_misc_bone_08
133741,inv_misc_book_09
133745,inv_misc_book_13
133753,inv_misc_cape_01
133755,inv_misc_cape_03
133756,inv_misc_cape_04
133758,inv_misc_cape_06
133760,inv_misc_cape_08
133768,inv_misc_cape_16
133769,inv_misc_cape_17
133770,inv_misc_cape_18
133941,inv_misc_flower_04
134085,inv_misc_gem_bloodstone_02
134124,inv_misc_gem_pearl_05
134144,inv_misc_gift_05
134169,inv_misc_head_murloc_01
134296,inv_misc_monsterclaw_03
134297,inv_misc_monsterclaw_04
134337,inv_misc_orb_05
134377,inv_misc_pocketwatch_02
134422,inv_misc_rune_09
134423,inv_misc_rune_10
134441,inv_misc_spyglass_02
134457,inv_misc_stonetablet_03
134458,inv_misc_stonetablet_04
134460,inv_misc_stonetablet_06
134465,inv_misc_stonetablet_11
134581,inv_pants_01
134583,inv_pants_03
134584,inv_pants_04
134586,inv_pants_06
134588,inv_pants_08
134589,inv_pants_09
134592,inv_pants_12
134604,inv_pants_cloth_10
134608,inv_pants_cloth_14
134621,inv_pants_cloth_27
134634,inv_pants_leather_09
134655,inv_pants_mail_03
134673,inv_pants_mail_21
134681,inv_pants_plate_05
134693,inv_pants_plate_17
134703,inv_pants_plate_27
134706,inv_pants_wolf
134855,inv_potion_75
134888,inv_qiraj_jewelblessed
134916,inv_relics_libramofhope
134917,inv_relics_libramoftruth
134918,inv_relics_totemoflife
134943,inv_scroll_07
134954,inv_shield_08
134955,inv_shield_09
134956,inv_shield_10
134991,inv_shield_46
135001,inv_shield_56
135026,inv_shirt_guildtabard_01
135032,inv_shoulder_01
135033,inv_shoulder_02
135035,inv_shoulder_04
135038,inv_shoulder_07
135039,inv_shoulder_08
135041,inv_shoulder_10
135044,inv_shoulder_13
135046,inv_shoulder_15
135049,inv_shoulder_18
135051,inv_shoulder_20
135053,inv_shoulder_22
135054,inv_shoulder_23
135056,inv_shoulder_25
135060,inv_shoulder_29
135096,inv_shoulder_71
135099,inv_shoulder_74
135102,inv_shoulder_77
135103,inv_shoulder_78
135105,inv_shoulder_80
135130,inv_spear_07
135131,inv_spear_08
135149,inv_staff_12
135150,inv_staff_13
135158,inv_staff_21
135159,inv_staff_22
135160,inv_staff_23
135167,inv_staff_30
135189,inv_staff_53
135201,inv_staff_66
135210,inv_staff_75
135213,inv_staff_78
135226,inv_staff_medivh
135228,inv_stone_02
135252,inv_stone_sharpeningstone_05
135276,inv_sword_06
135277,inv_sword_07
135292,inv_sword_110
135302,inv_sword_12
135309,inv_sword_126
135313,inv_sword_15
135329,inv_sword_28
135349,inv_sword_39
135350,inv_sword_40
135357,inv_sword_47
135358,inv_sword_48
135464,inv_wand_02
135469,inv_wand_07
135489,inv_weapon_bow_01
135490,inv_weapon_bow_02
135496,inv_weapon_bow_08
135513,inv_weapon_bow_33
135561,inv_weapon_glave_01
135614,inv_weapon_rifle_05
135618,inv_weapon_rifle_09
135639,inv_weapon_shortblade_03
135641,inv_weapon_shortblade_05
135643,inv_weapon_shortblade_07
135647,inv_weapon_shortblade_11
135651,inv_weapon_shortblade_15
135654,inv_weapon_shortblade_18
135702,inv_weapon_shortblade_67
135735,spell_arcane_blast
135741,spell_arcane_portaldarnassus
135805,spell_fire_fire
135827,spell_fire_soulburn
135855,spell_frost_iceshard
135933,spell_holy_mindsooth
136053,spell_nature_manaregentotem
136061,spell_nature_natureresistancetotem
136095,spell_nature_spiritwolf
136155,spell_shadow_evileye
136224,spell_shadow_unholyfrenzy
136243,trade_engineering
236231,ability_mount_drake_blue
236897,inv_belt_37c
236900,inv_belt_38b
236932,inv_belt_46b
236935,inv_belt_47a
236941,inv_belt_48c
236945,inv_belt_49c
236947,inv_boots_leather_02
236963,inv_bracer_23b
236966,inv_bracer_24b
236986,inv_bracer_31
236989,inv_bracer_32
236990,inv_bracer_32a
237047,inv_ingot_titansteel_dark
237048,inv_ingot_titansteel_red
237112,inv_inscription_minorglyph01
237235,inv_jewelcrafting_icediamond_01
237467,inv_spiritshard_01
237585,spell_shaman_spectraltransformation
250627,inv_weapon_shortblade_93
250628,inv_weapon_shortblade_94
251962,inv_sword_137
252174,ability_vehicle_electrocharge
252189,inv_weapon_shortblade_95
253325,inv_axe_103
254022,inv_axe_104
254114,achievement_dungeon_ulduarraid_misc_04
254289,inv_glyph_majordruid
254292,inv_glyph_majorpaladin
254303,inv_glyph_minorrogue
254306,inv_glyph_minorwarrior
254469,inv_axe_105
254787,inv_axe_106
298591,ability_mount_spectraltiger
303689,inv_mace_103
304285,inv_staff_97
304288,inv_sword_145
304384,inv_weapon_halberd_31
304583,inv_weapon_shortblade_99
304710,inv_shield_68
305162,inv_mace_107
305163,inv_staff_100
305180,inv_shield_69
305362,inv_staff_101
306563,inv_shield_70
306622,inv_shield_71
307765,inv_belt_50
312642,inv_boots_leather_04a
312644,inv_bracer_36a
315278,inv_helmet_146
315493,inv_bracer_38
317242,inv_jewelcrafting_dragonseye03
338784,inv_jewelry_trinket_04
369225,ability_mount_celestialhorse
399041,inv_misc_reforgedarchstone_01
467893,inv_misc_petmoonkinne
467894,inv_misc_petmoonkinta
840662,inv_helm_suncrown_d_01
1418621,item_shop_giftbox01
2734740,inv_encrypted13
4680677,inv_lunarrabbitpet
4777763,inv_magicalfishpet
4891622,inv_pitlordpet_brown
5140791,inv_lunardragonmount_classic
5210737,inv_dragonwhelpwrathionclassic
5279604,inv_arfuspet_classic
5332198,inv_ragnarosmountclassic
5373378,inv_wooddragonpet2
5505176,inv_belt_armor_twilightcultist_b_01
5505177,inv_boot_armor_twilightcultist_b_01
5505178,inv_bracer_armor_twilightcultist_b_01
5505179,inv_chest_armor_twilightcultist_b_01
5505180,inv_glove_armor_twilightcultist_b_01
5505181,inv_helm_armor_twilightcultist_b_01
5505182,inv_shoulder_armor_twilightcultist_b_01
5617452,inv_treasurecrabpetclassic_red
5617454,inv_parrotpiratemountclassic_blue
5770411,inv_snowowlpetclassic_white
5862973,inv_firedrakemount
5905031,inv_bearmountblizzard2
5905217,inv_ridingphoenix2
6036388,inv_30thhippogryphmount
6080694,inv_30thwyvernmount_red
6124702,inv_lunarsnakepetclassic
6126079,inv_30thgryphonmount_gold
6127582,inv_30thbatmount_red
6238482,inv_shaserpentmount
6243478,inv_shapetclassic
6243518,inv_shatigermount
6246537,inv_11xp_generic_shateaset01
6694821,inv_crocsunpet
6739959,inv_inariusmount
6750948,inv_hordezeppelinmountclassic
6750950,inv_allianceshipmountclassic
6799143,inv_shadrakemount
7015580,inv_classic_generic_pandarenboat01
7315561,inv_pixiupet_gold
7316475,inv_encrypted13_gold
7319680,inv_wealthcattoy
7360957,inv_horsedragonmount_blue
7360959,inv_horsedragonmount_yellow
7442780,inv_wingedhorse_nonflying_cn
7671982,inv_quilenmountflying_cn
